#Identifiant_A;Identifiant_R;Libellé_du_site;Caractéristique_du_site;Site_Acores_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Dépôt_de_Chèque;Photocopieurs;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilté_Distributeur_de_billets_avec_prise_audio;Accessibilité_Présence_d_un_panneau_prioritaire;Accessibilité_Borne_sonore_en_état_de_fonctionnement;Accessibilité_Espace_de_circulation_intérieur_suffisant_pour_PMR;Accessibilité_Présence_d_un_espace_confidentiel_accessible_PMR;Accessibilité_Présence_d_un_GAB_externe_accessible_PMR;Accessibilité_Présence_d_un_guichet_surbaissé_ou_d_un_écritoire;Accessibilité_Présence_d_une_bande_de_guidage_au_sol;Accessibilité_Amplificateur_de_son_pour_malentendant;Accessibilité_Escalier_ou_dénivelé_accessible_au_malvoyant;Accessibilité_Pick_up_accessible_PMR;Accessibilité_Accessibilité_externe_déclarée_conforme_par_propriétaire;Accessibilité_Accessible_aux_personnes_handicapées_moteur;Accessibilité_Accessibilité_interne_déclarée_conforme_par_propriétaire;Accessibilité_Accueil_en_langue_des_signes
00153A;013790;ST MAURICE DE REMENS AP;Agence postale communale;00001A;548 RUE DE LA LIBERATION;;;01500;ST MAURICE DE REMENS;01379;FRANCE;45.959117576;5.2755023314;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00154A;013800;SAINT NIZIER LE BOUCHOUX AP;Agence postale communale;00046A;119 GRANDE RUE;;;01560;ST NIZIER LE BOUCHOUX;01380;FRANCE;46.460278;5.151659;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00156A;013840;SAINT RAMBERT EN BUGEY BP;Bureau de Poste;;RUE DE LA GRENETTE; ; ;01230;ST RAMBERT EN BUGEY;01384;FRANCE;45.948393;5.43992;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00158A;013880;SAINT TRIVIER DE COURTES BP;Bureau de Poste;;22 ESPLANADE DE LA POSTE; ;;01560;ST TRIVIER DE COURTES;01388;FRANCE;46.459;5.083892;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00159A;013890;SAINT TRIVIER SUR MOIGNANS AP;Agence postale communale;00046A;PLACE DE L HOTEL DE VILLE;MAIRIE;;01990;ST TRIVIER SUR MOIGNANS;01389;FRANCE;46.07178;4.897376;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00161A;013960;SAULT BRENAZ AP;Agence postale communale;00001A;36 GRANDE RUE;;;01150;SAULT BRENAZ;01396;FRANCE;45.856077;5.407152;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00162A;014020;SERMOYER AP;Agence postale communale;00046A;31 PLACE DU MARCHE;;;01190;SERMOYER;01402;FRANCE;46.496898;4.979492;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00163A;014030;SERRIERES DE BRIORD BP;Bureau de Poste;;LE BOURG; ; ;01470;SERRIERES DE BRIORD;01403;FRANCE;45.808395;5.453261;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00166A;014160;TENAY BP;Bureau de Poste;;LE BOURG; ; ;01230;TENAY;01416;FRANCE;45.918945;5.509259;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00167A;014170;THEZILLIEU AP;Agence postale communale;00017A;16 ROUTE DE VIRIEU; ;THEZILLIEU;01110;PLATEAU D HAUTEVILLE;01185;FRANCE;45.893448;5.596994;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00168A;014190;THOIRY BP;Bureau de Poste;;342 RUE BRIAND STRESEMANN;;;01710;THOIRY;01419;FRANCE;46.236497;5.980417;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00169A;014200;THOISSEY BP;Bureau de Poste;;23 RUE DE L EGLISE;CITE ADMINISTRATIVE;;01140;THOISSEY;01420;FRANCE;46.173464;4.800484;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00171A;014220;TOSSIAT AP;Agence postale communale;00030A;100 RUE LOUIS FRANCOIS JAMBON;;;01250;TOSSIAT;01422;FRANCE;46.139496;5.316644;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00174A;014270;TREVOUX;Bureau de Poste;;6 BOULEVARD DES COMBATTANTS;;;01600;TREVOUX;01427;FRANCE;45.939894;4.780766;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00176A;014320;VERJON AP;Agence postale communale;00030A;113 RUE DU GRAND BRULE;;;01270;VERJON;01432;FRANCE;46.346281;5.351941;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00180A;014440;VILLEBOIS AP;Agence postale communale;00001A;25 RUE DE VOUGY;;;01150;VILLEBOIS;01444;FRANCE;45.847896;5.434588;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00184A;014510;VIRIAT AP;Agence postale communale;00025A;332 RUE PROSPER CONVERT;;;01440;VIRIAT;01451;FRANCE;46.254095;5.215534;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00185A;014520;VIRIEU LE GRAND BP;Bureau de Poste;;PLACE HONORE D URFE;;;01510;VIRIEU LE GRAND;01452;FRANCE;45.848425;5.651505;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00187A;014570;VONNAS BP;Bureau de Poste;;56 RUE CLAUDE MOREL; ; ;01540;VONNAS;01457;FRANCE;46.219471;4.991536;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00188A;014780;PREVESSIN MOENS BP;Bureau de Poste;;88 CHEMIN DE L EGLISE;LE COLOMBIER;;01280;PREVESSIN MOENS;01313;FRANCE;46.254191;6.079943;Géocodé au numéro;3631;;;;Oui;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00196A;019290;BOURG EN BRESSE MAGINOT BP;Bureau de Poste;;45 AVENUE MAGINOT; ; ;01000;BOURG EN BRESSE;01053;FRANCE;46.210095;5.227309;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00197A;019320;OYONNAX ANATOLE FRANCE BP;Bureau de Poste;;4 PLACE DU 11 NOVEMBRE 1943;;;01100;OYONNAX;01283;FRANCE;46.258804;5.657085;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00203A;020110;AMBLENY AP;Agence postale communale;00372A;11 RUE DE LA TOUR;;;02290;AMBLENY;02011;FRANCE;49.3803;3.1832;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00204A;020130;AMIFONTAINE AP;Agence postale communale;00292A;8 RUE DES MEGRETS;;;02190;AMIFONTAINE;02013;FRANCE;49.483189;3.916641;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00205A;020180;ANIZY LE GRAND BP;Bureau de Poste;;8 RUE JEAN JAURES; ;ANIZY LE CHATEAU;02320;ANIZY LE GRAND;02018;FRANCE;49.5054;3.451645;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00207A;020280;ATHIES SOUS LAON BP;Bureau de Poste;;3 RUE DES ECOLES; ; ;02840;ATHIES SOUS LAON;02028;FRANCE;49.575695;3.679897;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00209A;020370;AULNOIS SOUS LAON BP;Bureau de Poste;;9004 RUE DE CHAMBRY;;;02000;AULNOIS SOUS LAON;02037;FRANCE;49.612066;3.607631;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00211A;020490;BARISIS AP;Agence postale communale;00239A;PLACE DE LA MAIRIE;;;02700;BARISIS;02049;FRANCE;49.578645;3.328062;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00214A;020570;BEAUREVOIR BP;Bureau de Poste;;2 RUE DE LA POSTE;;;02110;BEAUREVOIR;02057;FRANCE;49.997594;3.307566;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00215A;020580;BEAURIEUX BP;Bureau de Poste;;2 RUE DU CLOITRE;;;02160;BEAURIEUX;02058;FRANCE;49.393468;3.737492;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00216A;020590;BEAUTOR BP;Bureau de Poste;;15 RUE DE TERGNIER;;;02800;BEAUTOR;02059;FRANCE;49.659293;3.345595;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00218A;020640;BELLEU BP;Bureau de Poste;;3 RUE DU VAL;;;02200;BELLEU;02064;FRANCE;49.358425;3.338417;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00219A;020650;BELLICOURT BP;Bureau de Poste;;4 RUE MORLET;;;02420;BELLICOURT;02065;FRANCE;49.962079;3.233413;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00222A;020930;BLERANCOURT BP;Bureau de Poste;;3 RUE ANNE MORGAN;;;02300;BLERANCOURT;02093;FRANCE;49.517295;3.151516;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00223A;020950;BOHAIN EN VERMANDOIS;Bureau de Poste;;4 RUE FAGARD;;;02110;BOHAIN EN VERMANDOIS;02095;FRANCE;49.98706;3.454553;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00224A;021030;BOUE BP;Bureau de Poste;;9 RUE DES MARCHANDS;;;02450;BOUE;02103;FRANCE;50.012806;3.700113;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00225A;021060;BOURG ET COMIN BP;Bureau de Poste;;6 RUE DE VAILLY;;;02160;BOURG ET COMIN;02106;FRANCE;49.397106;3.654846;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00226A;021090;LA BOUTEILLE AP;Agence postale communale;00286A;1 RUE DE VERVINS;;;02140;LA BOUTEILLE;02109;FRANCE;49.859365;3.974349;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00227A;021100;BRAINE BP;Bureau de Poste;;38 RUE DU MARTROY;;;02220;BRAINE;02110;FRANCE;49.341329;3.53292;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00228A;021120;BRANCOURT LE GRAND AP;Agence postale communale;00223A;1 RUE DU 11 NOVEMBRE 1918;;;02110;BRANCOURT LE GRAND;02112;FRANCE;49.976472301;3.3837867288;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00229A;021260;BRUNEHAMEL BP;Bureau de Poste;;4 PLACE DE MAI 1940;;;02360;BRUNEHAMEL;02126;FRANCE;49.7702;4.180773;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00230A;021280;BRUYERES ET MONTBERAULT BP;Bureau de Poste;;9001 PLACE DU GENERAL DE GAULLE;;;02860;BRUYERES ET MONTBERAULT;02128;FRANCE;49.524299;3.664789;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00231A;021310;BUCY LE LONG BP;Bureau de Poste;;23 RUE DU GENERAL DE GAULLE;;;02880;BUCY LE LONG;02131;FRANCE;49.390002;3.396342;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00232A;021330;BUCY LES PIERREPONT AP;Agence postale communale;00292A;4 RUE DU CALVAIRE;;;02350;BUCY LES PIERREPONT;02133;FRANCE;49.645889;3.900805;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00234A;021410;LA CAPELLE BP;Bureau de Poste;;69 RUE DU GENERAL DE GAULLE; ; ;02260;LA CAPELLE;02141;FRANCE;49.975193;3.916453;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00235A;021430;LE CATELET AP;Agence postale communale;00223A;48 BIS RUE DU GENERAL AUGEREAU;AGENCE POSTALE COMMUNALE DE LE CATELET;;02420;LE CATELET;02143;FRANCE;50.002763;3.246182;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00236A;021630;CHARLY BP;Bureau de Poste;;128 RUE EMILE MORLOT; ; ;02310;CHARLY SUR MARNE;02163;FRANCE;48.976795;3.2817;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00237A;021650;CHARMES BP;Bureau de Poste;;10 RUE ARISTIDE BRIAND;;;02800;CHARMES;02165;FRANCE;49.653673;3.378201;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00238A;021680;CHATEAU THIERRY;Bureau de Poste;;1 AVENUE JULES LEFEBVRE;;;02400;CHATEAU THIERRY;02168;FRANCE;49.043894;3.399058;Géocodé au numéro;3631;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00239A;021730;CHAUNY;Bureau de Poste;;28 BOULEVARD GAMBETTA;;;02300;CHAUNY;02173;FRANCE;49.614329;3.220699;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00240A;021740;CHAVIGNON AP;Agence postale communale;00292A;2 RUE JULES BOUTEILLE;;;02000;CHAVIGNON;02174;FRANCE;49.479599;3.52057;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00241A;021860;CHEZY SUR MARNE AP;Agence postale communale;00238A;PLACE DU LIEUTENANT LEHOUCQ;;;02570;CHEZY SUR MARNE;02186;FRANCE;48.988924;3.365796;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00242A;021950;CIRY SALSOGNE AP;Agence postale communale;00353A;5 A RUE DU PRESBYTERE;;;02220;CIRY SALSOGNE;02195;FRANCE;49.363899;3.463001;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00243A;021970;CLAIRFONTAINE AP;Agence postale communale;00282A;17  RUE DU PETIT VERSAILLES;;;02260;CLAIRFONTAINE;02197;FRANCE;49.982412;3.990205;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00245A;022030;COINCY BP;Bureau de Poste;;14 GRANDE RUE;;;02210;COINCY;02203;FRANCE;49.161804;3.42115;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00246A;022090;CONDE EN BRIE BP;Bureau de Poste;;5 PLACE DE L EGLISE;;;02330;CONDE EN BRIE;02209;FRANCE;49.004528;3.56078;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00247A;022150;CORBENY AP;Agence postale communale;00292A;7 RUE PIERRE CURTIL;;;02820;CORBENY;02215;FRANCE;49.461989;3.822507;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00248A;022170;COUCY LE CHATEAU AUFFRIQUE BP;Bureau de Poste;;2 RUE DE LA POSTE; ; ;02380;COUCY LE CHATEAU AUFFRIQUE;02217;FRANCE;49.52094;3.323881;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00249A;022180;COUCY LES EPPES AP;Agence postale communale;00292A;51 RUE DE LA MAIRIE;;;02840;COUCY LES EPPES;02218;FRANCE;49.551717;3.767689;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00250A;022200;COULONGES COHAN AP;Agence postale communale;00238A;1 RUE DE LA SABOTTERIE;;;02130;COULONGES COHAN;02220;FRANCE;49.201427;3.636549;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00251A;022310;COUVRON ET AUMENCOURTC AP;Agence postale communale;00239A;2 RUE JAMES SMALES;AGENCE POSTALE COMMUNALE;;02270;COUVRON ET AUMENCOURT;02231;FRANCE;49.644495;3.516926;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00252A;022370;CRECY SUR SERRE BP;Bureau de Poste;;1 RUE DES TELLIERS; ; ;02270;CRECY SUR SERRE;02237;FRANCE;49.696009;3.623853;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00253A;022380;CREPY BP;Bureau de Poste;;30 RUE MALEZIEUX BRIQUET; ; ;02870;CREPY;02238;FRANCE;49.604425;3.51419;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00254A;022390;CREZANCY AP;Agence postale communale;00238A;400 RUE DE L EGLISE;;;02650;CREZANCY;02239;FRANCE;49.0474;3.5099;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00255A;022430;CROUY BP;Bureau de Poste;;1 PLACE ADRIEN LEMOINE; ; ;02880;CROUY;02243;FRANCE;49.402855;3.360402;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00256A;022610;DERCY AP;Agence postale communale;00292A;4 RUE ANDRE LEDUC;;;02270;DERCY;02261;FRANCE;49.705811;3.685639;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00257A;022640;DIZY LE GROS AP;Agence postale communale;00286A;1 RUE DE CLERMONT;;;02340;DIZY LE GROS;02264;FRANCE;49.629644;4.020179;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00258A;022860;ESQUEHERIES AP;Agence postale communale;00282A;2  PLACE DE LA MAIRIE;;;02170;ESQUEHERIES;02286;FRANCE;49.983499;3.747435;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00259A;022870;ESSIGNY LE GRAND AP;Agence postale communale;00277A;PLACE DE LA MAIRIE;;;02690;ESSIGNY LE GRAND;02287;FRANCE;49.775908;3.276629;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00260A;022900;ESSOMES SUR MARNE BP;Bureau de Poste;;4 AVENUE DU GENERAL DE GAULLE;;;02400;ESSOMES SUR MARNE;02290;FRANCE;49.029699;3.37504;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00261A;022910;ESTREES AP;Agence postale communale;00223A;46 RUE DE LA CHAUSSEE BRUNEHAUT; ; ;02420;ESTREES;02291;FRANCE;49.968136;3.284828;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00262A;022920;ETAMPES SUR MARNE AP;Agence postale communale;00238A;PLACE DE LA MAIRIE;;;02400;ETAMPES SUR MARNE;02292;FRANCE;49.034368;3.419009;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00263A;022950;ETREAUPONT BP;Bureau de Poste;;11 RUE DE LA LIBERATION;;;02580;ETREAUPONT;02295;FRANCE;49.902327;3.916743;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00264A;022960;ETREILLERS BP;Bureau de Poste;;36 AVENUE DU GENERAL DE GAULLE; ; ;02590;ETREILLERS;02296;FRANCE;49.829156;3.162134;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00265A;022980;ETREUX BP;Bureau de Poste;;249 RUE DE L ECLAIREUR DE NICE;;;02510;ETREUX;02298;FRANCE;49.993264;3.655687;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00266A;023000;TERGNIER FARGNIERS BP;Bureau de Poste;;1 PLACE CARNEGIE;;;02700;TERGNIER;02738;FRANCE;49.6588;3.314829;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00267A;023040;LA FERE BP;Bureau de Poste;;36 PLACE PAUL DOUMER;;;02800;LA FERE;02304;FRANCE;49.662694;3.365116;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00268A;023050;FERE EN TARDENOIS BP;Bureau de Poste;;9 PLACE ARISTIDE BRIAND;;;02130;FERE EN TARDENOIS;02305;FRANCE;49.202885;3.514661;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00269A;023060;LA FERTE CHEVRESIS AP;Agence postale communale;00292A;1 RUE DU CHATEAU;;;02270;LA FERTE CHEVRESIS;02306;FRANCE;49.736351;3.558353;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00270A;023070;LA FERTE MILON BP;Bureau de Poste;;34 RUE DE LA CHAUSSEE;;;02460;LA FERTE MILON;02307;FRANCE;49.178397;3.125119;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00271A;023080;FESMY LE SART AP;Agence postale communale;00282A;3 PLACE DE L EGLISE; ;;02450;FESMY LE SART;02308;FRANCE;50.041389272596;3.6774655330858;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00272A;023150;FLAVY LE MARTEL BP;Bureau de Poste;;16 RUE ROOSEVELT;;;02520;FLAVY LE MARTEL;02315;FRANCE;49.714384;3.19267;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00273A;023180;FOLEMBRAY BP;Bureau de Poste;;2 RUE LOUIS LAVERE;;;02670;FOLEMBRAY;02318;FRANCE;49.544396;3.290113;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
